conta_custo
1 de janeiro de 2026 - 21 de setembro de 2026
Dia,Tipo de campanha,Impr.,Código da moeda,Custo,Cliques,CTR,CPC méd.
2026-02-01,Pesquisa,216,BRL,"12,20",21,"9,72%","0,58"
2026-02-01,Performance Max,5.646,BRL,"27,75",315,"5,58%","0,09"
2026-02-02,Pesquisa,202,BRL,"10,43",17,"8,42%","0,61"
2026-02-02,Performance Max,4.111,BRL,"26,77",298,"7,25%","0,09"
2026-02-03,Pesquisa,146,BRL,"9,97",17,"11,64%","0,59"
2026-02-03,Performance Max,6.820,BRL,"37,00",392,"5,75%","0,09"
2026-02-04,Pesquisa,192,BRL,"8,49",15,"7,81%","0,57"
2026-02-04,Performance Max,5.564,BRL,"33,35",353,"6,34%","0,09"
2026-02-05,Pesquisa,295,BRL,"15,30",20,"6,78%","0,76"
2026-02-05,Performance Max,3.905,BRL,"31,76",241,"6,17%","0,13"
2026-02-06,Pesquisa,201,BRL,"10,63",15,"7,46%","0,71"
2026-02-06,Performance Max,2.872,BRL,"15,61",231,"8,04%","0,07"
2026-02-07,Pesquisa,211,BRL,"11,75",20,"9,48%","0,59"
2026-02-07,Performance Max,2.406,BRL,"19,47",210,"8,73%","0,09"
2026-02-08,Pesquisa,277,BRL,"11,38",18,"6,50%","0,63"
2026-02-08,Performance Max,2.759,BRL,"49,21",226,"8,19%","0,22"
2026-02-09,Pesquisa,180,BRL,"11,16",21,"11,67%","0,53"
2026-02-09,Performance Max,3.382,BRL,"56,81",241,"7,13%","0,24"
2026-02-10,Pesquisa,200,BRL,"11,26",17,"8,50%","0,66"
2026-02-10,Performance Max,1.553,BRL,"20,29",125,"8,05%","0,16"
2026-02-11,Pesquisa,107,BRL,"6,65",11,"10,28%","0,60"
2026-02-11,Performance Max,156,BRL,"3,07",17,"10,90%","0,18"
2026-04-06,Pesquisa,110,BRL,"12,25",7,"6,36%","1,75"
2026-04-07,Pesquisa,232,BRL,"14,74",16,"6,90%","0,92"
2026-04-08,Pesquisa,359,BRL,"19,65",25,"6,96%","0,79"
2026-04-09,Pesquisa,135,BRL,"9,47",14,"10,37%","0,68"
2026-04-10,Pesquisa,191,BRL,"7,11",10,"5,24%","0,71"
2026-04-11,Pesquisa,152,BRL,"7,43",11,"7,24%","0,68"
2026-04-12,Pesquisa,294,BRL,"11,52",20,"6,80%","0,58"
2026-04-13,Pesquisa,185,BRL,"7,56",12,"6,49%","0,63"
2026-04-14,Pesquisa,88,BRL,"8,42",16,"18,18%","0,53"
2026-04-15,Pesquisa,150,BRL,"8,14",14,"9,33%","0,58"
2026-04-16,Pesquisa,168,BRL,"3,98",7,"4,17%","0,57"
2026-04-17,Pesquisa,216,BRL,"12,48",21,"9,72%","0,59"
2026-04-18,Pesquisa,259,BRL,"9,94",17,"6,56%","0,58"
2026-04-19,Pesquisa,311,BRL,"9,62",18,"5,79%","0,53"
2026-04-20,Pesquisa,351,BRL,"12,96",22,"6,27%","0,59"
2026-04-21,Pesquisa,277,BRL,"11,55",20,"7,22%","0,58"
2026-04-22,Pesquisa,260,BRL,"5,89",11,"4,23%","0,54"
2026-04-23,Pesquisa,376,BRL,"12,01",20,"5,32%","0,60"
2026-04-24,Pesquisa,240,BRL,"10,68",16,"6,67%","0,67"
2026-04-25,Pesquisa,207,BRL,"9,25",18,"8,70%","0,51"
2026-04-26,Pesquisa,241,BRL,"10,03",18,"7,47%","0,56"
2026-04-27,Pesquisa,233,BRL,"8,89",17,"7,30%","0,52"
2026-04-28,Pesquisa,251,BRL,"9,17",19,"7,57%","0,48"
2026-04-29,Pesquisa,266,BRL,"5,67",12,"4,51%","0,47"
2026-04-30,Pesquisa,232,BRL,"7,42",15,"6,47%","0,49"
2026-05-01,Pesquisa,215,BRL,"9,94",17,"7,91%","0,58"
2026-05-02,Pesquisa,197,BRL,"10,71",19,"9,64%","0,56"
2026-05-03,Pesquisa,235,BRL,"10,80",19,"8,09%","0,57"
2026-05-04,Pesquisa,362,BRL,"7,40",13,"3,59%","0,57"
2026-05-05,Pesquisa,292,BRL,"12,42",19,"6,51%","0,65"
2026-05-06,Pesquisa,302,BRL,"9,98",16,"5,30%","0,62"
2026-05-07,Pesquisa,237,BRL,"10,48",18,"7,59%","0,58"
2026-05-08,Pesquisa,217,BRL,"7,58",14,"6,45%","0,54"
2026-05-09,Pesquisa,303,BRL,"10,27",20,"6,60%","0,51"
2026-05-10,Pesquisa,274,BRL,"9,77",16,"5,84%","0,61"
2026-05-11,Pesquisa,221,BRL,"9,41",16,"7,24%","0,59"
2026-05-12,Pesquisa,302,BRL,"7,70",14,"4,64%","0,55"
2026-05-13,Pesquisa,352,BRL,"10,66",18,"5,11%","0,59"
2026-05-14,Pesquisa,369,BRL,"13,50",18,"4,88%","0,75"
2026-05-15,Pesquisa,382,BRL,"13,07",19,"4,97%","0,69"
2026-05-16,Pesquisa,317,BRL,"12,11",18,"5,68%","0,67"
2026-05-17,Pesquisa,194,BRL,"10,07",18,"9,28%","0,56"
2026-05-18,Pesquisa,172,BRL,"8,17",15,"8,72%","0,54"
2026-05-19,Pesquisa,160,BRL,"8,24",16,"10,00%","0,52"
2026-05-20,Pesquisa,225,BRL,"3,35",6,"2,67%","0,56"
2026-05-21,Pesquisa,199,BRL,"7,24",13,"6,53%","0,56"
2026-05-22,Pesquisa,326,BRL,"12,47",18,"5,52%","0,69"
2026-05-23,Pesquisa,321,BRL,"15,49",24,"7,48%","0,65"
2026-05-24,Pesquisa,236,BRL,"10,69",15,"6,36%","0,71"
2026-05-25,Pesquisa,245,BRL,"8,61",13,"5,31%","0,66"
2026-05-26,Pesquisa,169,BRL,"8,78",15,"8,88%","0,59"
2026-05-27,Pesquisa,166,BRL,"7,00",13,"7,83%","0,54"
2026-05-28,Pesquisa,189,BRL,"6,05",10,"5,29%","0,60"
2026-05-29,Pesquisa,343,BRL,"15,41",21,"6,12%","0,73"
2026-05-30,Pesquisa,119,BRL,"8,31",13,"10,92%","0,64"
2026-05-31,Pesquisa,263,BRL,"6,63",11,"4,18%","0,60"
2026-06-01,Pesquisa,286,BRL,"10,58",17,"5,94%","0,62"
2026-06-02,Pesquisa,241,BRL,"10,56",17,"7,05%","0,62"
2026-06-03,Pesquisa,190,BRL,"7,97",14,"7,37%","0,57"
2026-06-04,Pesquisa,276,BRL,"11,13",17,"6,16%","0,65"
2026-06-05,Pesquisa,118,BRL,"11,65",20,"16,95%","0,58"
2026-06-06,Pesquisa,202,BRL,"6,87",14,"6,93%","0,49"
2026-06-07,Pesquisa,269,BRL,"12,83",20,"7,43%","0,64"
2026-06-08,Pesquisa,237,BRL,"14,09",22,"9,28%","0,64"
2026-06-09,Pesquisa,238,BRL,"11,80",18,"7,56%","0,66"
2026-06-10,Pesquisa,185,BRL,"6,60",10,"5,41%","0,66"
2026-06-11,Pesquisa,191,BRL,"10,86",13,"6,81%","0,84"
2026-06-12,Pesquisa,214,BRL,"10,85",15,"7,01%","0,72"
2026-06-13,Pesquisa,273,BRL,"12,21",18,"6,59%","0,68"
2026-06-14,Pesquisa,306,BRL,"8,95",12,"3,92%","0,75"
2026-06-15,Pesquisa,189,BRL,"11,14",16,"8,47%","0,70"
2026-06-16,Pesquisa,215,BRL,"8,95",16,"7,44%","0,56"
2026-06-17,Pesquisa,249,BRL,"10,27",14,"5,62%","0,73"
2026-06-18,Pesquisa,257,BRL,"10,86",17,"6,61%","0,64"
2026-06-19,Pesquisa,87,BRL,"7,62",11,"12,64%","0,69"
2026-06-20,Pesquisa,140,BRL,"6,54",10,"7,14%","0,65"
2026-06-21,Pesquisa,207,BRL,"16,47",21,"10,14%","0,78"
2026-06-22,Pesquisa,182,BRL,"9,59",14,"7,69%","0,69"
2026-06-23,Pesquisa,173,BRL,"9,51",16,"9,25%","0,59"
2026-06-24,Pesquisa,145,BRL,"7,79",11,"7,59%","0,71"
2026-06-25,Pesquisa,231,BRL,"12,79",17,"7,36%","0,75"
2026-06-26,Pesquisa,248,BRL,"6,74",9,"3,63%","0,75"
2026-06-27,Pesquisa,204,BRL,"9,52",14,"6,86%","0,68"
2026-06-28,Pesquisa,338,BRL,"10,45",15,"4,44%","0,70"
2026-06-29,Pesquisa,373,BRL,"7,91",12,"3,22%","0,66"
2026-06-30,Pesquisa,546,BRL,"8,88",12,"2,20%","0,74"
2026-07-01,Pesquisa,140,BRL,"10,56",14,"10,00%","0,75"
2026-07-02,Pesquisa,306,BRL,"10,71",13,"4,25%","0,82"
2026-07-03,Pesquisa,363,BRL,"10,44",15,"4,13%","0,70"
2026-07-04,Pesquisa,468,BRL,"10,60",14,"2,99%","0,76"
2026-07-05,Pesquisa,383,BRL,"10,60",14,"3,66%","0,76"
2026-07-06,Pesquisa,412,BRL,"9,51",15,"3,64%","0,63"
2026-07-07,Pesquisa,382,BRL,"9,68",14,"3,66%","0,69"
2026-07-08,Pesquisa,599,BRL,"7,49",10,"1,67%","0,75"
2026-07-09,Pesquisa,517,BRL,"12,43",17,"3,29%","0,73"
2026-07-10,Pesquisa,314,BRL,"10,08",14,"4,46%","0,72"
2026-07-11,Pesquisa,480,BRL,"9,51",14,"2,92%","0,68"
2026-07-12,Pesquisa,582,BRL,"11,50",15,"2,58%","0,77"
2026-07-13,Pesquisa,413,BRL,"8,66",12,"2,91%","0,72"
2026-07-14,Pesquisa,438,BRL,"9,96",14,"3,20%","0,71"
2026-07-15,Pesquisa,478,BRL,"9,60",10,"2,09%","0,96"
2026-07-16,Pesquisa,446,BRL,"10,39",14,"3,14%","0,74"
2026-07-17,Pesquisa,183,BRL,"9,34",12,"6,56%","0,78"
2026-07-18,Pesquisa,382,BRL,"9,86",13,"3,40%","0,76"
2026-07-19,Pesquisa,573,BRL,"13,78",17,"2,97%","0,81"
2026-07-20,Pesquisa,417,BRL,"9,01",13,"3,12%","0,69"
2026-07-21,Pesquisa,300,BRL,"9,33",14,"4,67%","0,67"
2026-07-22,Pesquisa,483,BRL,"7,22",10,"2,07%","0,72"
2026-07-23,Pesquisa,296,BRL,"10,45",13,"4,39%","0,80"
2026-07-24,Pesquisa,236,BRL,"7,76",10,"4,24%","0,78"
2026-07-25,Pesquisa,251,BRL,"10,18",14,"5,58%","0,73"
2026-07-26,Pesquisa,448,BRL,"12,31",17,"3,79%","0,72"
2026-07-27,Pesquisa,262,BRL,"9,87",14,"5,34%","0,71"
2026-07-28,Pesquisa,382,BRL,"9,04",14,"3,66%","0,65"
2026-07-29,Pesquisa,195,BRL,"9,41",14,"7,18%","0,67"
2026-07-30,Pesquisa,302,BRL,"6,10",9,"2,98%","0,68"
2026-07-31,Pesquisa,374,BRL,"7,78",13,"3,48%","0,60"
2026-08-01,Pesquisa,298,BRL,"11,00",15,"5,03%","0,73"
2026-08-02,Pesquisa,476,BRL,"12,11",17,"3,57%","0,71"
2026-08-03,Pesquisa,237,BRL,"8,80",13,"5,49%","0,68"
2026-08-04,Pesquisa,317,BRL,"8,42",13,"4,10%","0,65"
2026-08-05,Pesquisa,344,BRL,"8,77",14,"4,07%","0,63"
2026-08-06,Pesquisa,409,BRL,"10,23",15,"3,67%","0,68"
2026-08-07,Pesquisa,405,BRL,"11,55",16,"3,95%","0,72"
2026-08-08,Pesquisa,433,BRL,"10,75",16,"3,70%","0,67"
2026-08-09,Pesquisa,509,BRL,"8,18",12,"2,36%","0,68"
2026-08-10,Pesquisa,416,BRL,"11,22",14,"3,37%","0,80"
2026-08-11,Pesquisa,408,BRL,"10,51",14,"3,43%","0,75"
2026-08-12,Pesquisa,235,BRL,"11,10",16,"6,81%","0,69"
2026-08-13,Pesquisa,363,BRL,"7,56",11,"3,03%","0,69"
2026-08-14,Pesquisa,572,BRL,"10,55",14,"2,45%","0,75"
2026-08-15,Pesquisa,366,BRL,"11,97",13,"3,55%","0,92"
2026-08-16,Pesquisa,433,BRL,"14,14",17,"3,93%","0,83"
2026-08-17,Pesquisa,294,BRL,"9,31",12,"4,08%","0,78"
2026-08-18,Pesquisa,353,BRL,"7,00",10,"2,83%","0,70"
2026-08-19,Pesquisa,455,BRL,"7,47",10,"2,20%","0,75"
2026-08-20,Pesquisa,513,BRL,"6,34",9,"1,75%","0,70"
2026-08-21,Pesquisa,649,BRL,"8,20",12,"1,85%","0,68"
2026-08-22,Pesquisa,647,BRL,"13,39",14,"2,16%","0,96"
2026-08-23,Pesquisa,507,BRL,"12,54",15,"2,96%","0,84"
2026-08-24,Pesquisa,682,BRL,"9,22",11,"1,61%","0,84"
2026-08-25,Pesquisa,331,BRL,"9,79",13,"3,93%","0,75"
2026-08-26,Pesquisa,310,BRL,"4,31",6,"1,94%","0,72"
2026-08-27,Pesquisa,466,BRL,"4,73",6,"1,29%","0,79"
2026-08-28,Pesquisa,741,BRL,"18,43",19,"2,56%","0,97"
2026-08-29,Pesquisa,396,BRL,"8,91",10,"2,53%","0,89"
2026-08-30,Pesquisa,353,BRL,"10,99",15,"4,25%","0,73"
2026-08-31,Pesquisa,234,BRL,"6,39",9,"3,85%","0,71"
2026-09-01,Pesquisa,413,BRL,"10,51",14,"3,39%","0,75"
2026-09-02,Pesquisa,461,BRL,"10,25",14,"3,04%","0,73"
2026-09-03,Pesquisa,569,BRL,"12,86",17,"2,99%","0,76"
2026-09-04,Pesquisa,328,BRL,"8,19",11,"3,35%","0,74"
2026-09-05,Pesquisa,620,BRL,"9,47",15,"2,42%","0,63"
2026-09-06,Pesquisa,708,BRL,"12,08",18,"2,54%","0,67"
2026-09-07,Pesquisa,505,BRL,"10,76",15,"2,97%","0,72"
2026-09-08,Pesquisa,286,BRL,"11,04",16,"5,59%","0,69"
2026-09-09,Pesquisa,423,BRL,"6,58",10,"2,36%","0,66"
2026-09-10,Pesquisa,571,BRL,"11,98",17,"2,98%","0,70"
2026-09-11,Pesquisa,693,BRL,"11,18",15,"2,16%","0,75"
2026-09-12,Pesquisa,634,BRL,"12,89",14,"2,21%","0,92"
2026-09-13,Pesquisa,455,BRL,"10,91",15,"3,30%","0,73"
2026-09-14,Pesquisa,278,BRL,"9,46",13,"4,68%","0,73"
2026-09-15,Pesquisa,712,BRL,"10,00",13,"1,83%","0,77"
2026-09-16,Pesquisa,368,BRL,"9,70",13,"3,53%","0,75"
2026-09-17,Pesquisa,331,BRL,"9,60",13,"3,93%","0,74"
2026-09-18,Pesquisa,393,BRL,"9,60",12,"3,05%","0,80"
2026-09-19,Pesquisa,298,BRL,"11,21",16,"5,37%","0,70"
2026-09-20,Pesquisa,443,BRL,"10,05",14,"3,16%","0,72"
2026-09-21,Pesquisa,288,BRL,"6,64",8,"2,78%","0,83"
